topic,rank,term
0,1,use
0,2,recording
0,3,audio
0,4,sound
0,5,get
0,6,one
0,7,would
0,8,usb
0,9,device
0,10,like
0,11,software
0,12,work
1,1,guitar
1,2,sound
1,3,acoustic
1,4,like
1,5,guitars
1,6,bass
1,7,good
1,8,tone
1,9,neck
1,10,pickup
1,11,great
1,12,bridge
2,1,good
2,2,price
2,3,quality
2,4,great
2,5,ood
2,6,well
2,7,product
2,8,orks
2,9,reat
2,10,sound
2,11,works
2,12,would
3,1,mic
3,2,cable
3,3,microphone
3,4,use
3,5,light
3,6,one
3,7,mics
3,8,would
3,9,well
3,10,like
3,11,stand
3,12,cables
4,1,amp
4,2,sound
4,3,like
4,4,good
4,5,tone
4,6,get
4,7,sounds
4,8,pedal
4,9,great
4,10,really
4,11,bass
4,12,clean
5,1,link
5,2,play
5,3,one
5,4,like
5,5,product
5,6,piano
5,7,hook
5,8,sound
5,9,class
5,10,nbsp
5,11,instrument
5,12,good
6,1,one
6,2,strap
6,3,guitar
6,4,would
6,5,get
6,6,like
6,7,work
6,8,back
6,9,fit
6,10,product
6,11,made
6,12,two
7,1,pedal
7,2,power
7,3,one
7,4,pedals
7,5,use
7,6,unit
7,7,board
7,8,get
7,9,like
7,10,switch
7,11,effects
7,12,would
8,1,stand
8,2,case
8,3,well
8,4,bag
8,5,little
8,6,would
8,7,use
8,8,like
8,9,nice
8,10,good
8,11,fit
8,12,great
9,1,strings
9,2,guitar
9,3,string
9,4,like
9,5,good
9,6,picks
9,7,one
9,8,tuner
9,9,sound
9,10,would
9,11,tune
9,12,pick
